Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,Region
Antigua and Barbuda,826,800,814,856,920,1023,1158,1313,1370,1228,Caribbean
Aruba,1873,1896,1962,2044,2255,2360,2470,2678,2843,2554,Caribbean
Barbados,3059,3055,3106,3210,3444,3820,4217,4674,4785,4466,Caribbean
Belize,1116,1163,1233,1298,1390,1462,1581,1696,1729,1681,Central
Canada,744631,738968,760149,895599,1026473,1173505,1319356,1468896,1552864,1376509,North
Costa Rica,15016,15979,16584,17277,18615,20049,22717,26885,30802,30746,Central
Dominica,333,340,333,343,367,364,390,421,458,489,Caribbean
Dominican Republic,24306,25602,27249,21518,22506,35948,37998,44067,48206,48319,Caribbean
El Salvador,11785,12283,12664,13244,13725,14698,16000,17012,17987,17602,Central
Grenada,520,520,540,591,599,695,699,759,826,771,Caribbean
Guatemala,18124,19735,21924,23092,24977,28179,31308,35028,40242,37997,Central
Haiti,6810,6285,6064,4866,6037,7186,7507,9522,10488,11598,Caribbean
Honduras,7187,7651,7858,8230,8869,9757,10917,12361,13882,14587,Central
Jamaica,9065,9195,9719,9430,10175,11233,11946,12881,13743,12107,Caribbean
Mexico,707909,756693,772110,729335,782243,877477,975383,1052697,1109987,900047,North
Nicaragua,5109,5335,5224,5322,5793,6321,6764,7423,8497,8297,Central
Panama,12502,12704,13204,13915,15255,16638,18438,21296,25156,27117,Central
Puerto Rico,61702,69669,72546,75834,80322,83915,87276,89524,93639,96386,Caribbean
Saint Kitts and Nevis,421,458,481,469,507,547,644,689,778,774,Caribbean
Saint Lucia,932,892,899,987,1066,1135,1267,1331,1427,1399,Caribbean
United States,10250950,10581925,10929100,11456450,12217175,13039200,13815600,14474250,14769850,14478050,North
