Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,Region
Antigua and Barbuda,4.809466591133002e-05,4.3471748325038265e-05,4.4012284276899666e-05,4.477960968765393e-05,4.526550634175473e-05,5.05413213265356e-05,5.559090306987733e-05,6.162847440024336e-05,6.174932590319222e-05,0
Aruba,0.00015023485903336355,0.00014704791389947726,0.00014905615610617373,0.0001484797584380104,0.00015454118620837783,0.00015308114926823222,0.0001505586958142511,0.0001559366218849207,0.0001614826121481507,0
Barbados,0.0002659352115097072,0.0002565778189184323,0.0002537340214133946,0.0002502595340633603,0.00025186611756524286,0.00026505433460471473,0.0002770135235005476,0.00029384069688815587,0.00029297076006920255,0
Belize,7.63856458591712e-05,7.777662798153585e-05,8.235146746197444e-05,8.336165156278656e-05,8.373709401015388e-05,8.420997089003958e-05,8.620933015133321e-05,8.809002787030301e-05,8.605635221815494e-05,1
Canada,0.0726100682524769,0.06980315330831817,0.0695244028900973,0.07814661647276863,0.0839913339065327,0.08997283193070302,0.09547201960737478,0.10145725778575938,0.10510967546937612,2
Costa Rica,0.0014324015812901799,0.0014779449392505943,0.0014869929974717184,0.0014781635681300814,0.0014936798548360586,0.0015097206529785328,0.0016161173083869156,0.0018284035274978032,0.0020545192381649833,1
Dominica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Dominican Republic,0.002338688490653782,0.0023873550134502534,0.0024628578868961153,0.001848359132818854,0.0018121754880652948,0.0027290779637078036,0.002722217034703056,0.0030155116520998,0.003232902207484235,0
El Salvador,0.0011172010426299217,0.0011286588918389827,0.0011283066058595632,0.0011261242584413712,0.001093411634201012,0.0010993312593240683,0.0011299140584906057,0.0011462758058009392,0.0011868464185932636,1
Grenada,1.8242804311194143e-05,1.7010684127188888e-05,1.8940837516254118e-05,2.1647842500074413e-05,1.8990230508656595e-05,2.5385701607106646e-05,2.2366652407020957e-05,2.335249366287249e-05,2.4916394662691596e-05,0
Guatemala,0.0017356028422484226,0.0018329012147046025,0.0019756117044127668,0.001985753100944326,0.0020144378138708574,0.00213324256858511,0.002237968152492796,0.0023910051721628047,0.0026936789273383764,1
Haiti,0.0006318644038695427,0.0005618250952007662,0.0005243958444717506,0.0003948112565638572,0.00046411468527621946,0.0005232062125790983,0.0005151568452452045,0.0006287900734491198,0.0006791071697467302,0
Honduras,0.0006686426778017362,0.0006909172869659885,0.0006885497696126197,0.0006884537653148666,0.0006959264645887862,0.0007203863903188904,0.0007619862455945296,0.0008249372021736611,0.0009089067444347065,1
Jamaica,0.000851851161739825,0.0008368311552569865,0.0008588343039978802,0.0007932013903152268,0.0008028283656418273,0.0008335866790563207,0.0008364693696295605,0.0008608641155011573,0.0008994953888420051,0
Mexico,0.06902764975025406,0.07147823317584275,0.07061885389266694,0.06363348387021873,0.06400002357407925,0.06726927158221793,0.0705738819750116,0.07270197817039292,0.0751235392763629,2
Nicaragua,0.0004659231732099639,0.00047204648452949156,0.00044753447484057444,0.000434615354063994,0.00044414220146539094,0.00045686593496536043,0.000461375541884633,0.0004837697059983229,0.0005443013497102656,1
Panama,0.0011871480516733772,0.0011684449919364633,0.0011777174863367478,0.0011846956387540726,0.0012186489302279285,0.0012481175466889836,0.0013063862221421173,0.0014422582994451571,0.001672242161356405,1
Puerto Rico,0.0059868591324795375,0.006551853999188213,0.0066076072442572895,0.0065895857990851524,0.006544671897929476,0.006407857265786608,0.006289155213710106,0.006156145688884399,0.006309061334413765,0
Saint Kitts and Nevis,8.584849087620775e-06,1.1151448483379383e-05,1.354224131596913e-05,1.0998500625037805e-05,1.1459621858672087e-05,1.4034995148339931e-05,1.8385533046547973e-05,1.8516178407248007e-05,2.1666430141470957e-05,0
Saint Lucia,5.843550685778232e-05,5.2166097990045916e-05,5.1789922870530594e-05,5.6214558750193236e-05,5.7216254851512766e-05,5.9131045133169866e-05,6.348075780245106e-05,6.287209832311822e-05,6.560865877214174e-05,0
United States,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2
